Participant number,Participant group,Cobble number,Hammerstine number,Time(s),Taps(Y/N),Strikes,Split/No-split,Prob(success),Notes
E3,Expert,E3.1,H4,9.00,Y,21,Y,0.424242424,divided by 33
E3,Expert,E3.2,H4,6.40,Y,3,Y,0.424242424,
E3,Expert,E3.3,H4,4.19,Y,2,Y,0.424242424,
E3,Expert,E3.4,H4,6.69,Y,5,N,0.424242424,
E3,Expert,E3.5,H4,2.52,Y,2,Y,0.424242424,
E3,Expert,E3.6,H4,24.64,Y,10,Y,0.424242424,
E3,Expert,E3.7,H4,19.21,Y,15,N,0.424242424,
E3,Expert,E3.8,H4,2.54,Y,1,N,0.424242424,
E3,Expert,E3.9,H4,9.71,Y,6,Y,0.424242424,
E3,Expert,E3.10,H4,16.00,Y,7,N,0.424242424,
E3,Expert,E3.11,H4,2.49,Y,2,Y,0.424242424,
E3,Expert,E3.12,H4,1.07,N,1,Y,0.424242424,
E3,Expert,E3.13,H4,3.00,Y,2,N,0.424242424,
E3,Expert,E3.14,H4,3.97,Y,3,N,0.424242424,
E3,Expert,E3.15,H4,24.60,Y,13,Y,0.424242424,
E3,Expert,E3.16,H4,14.22,Y,10,N,0.424242424,
E3,Expert,E3.17,H4,6.53,Y,2,Y,0.424242424,
E3,Expert,E3.18,H4,1.70,Y,1,Y,0.424242424,
E3,Expert,E3.19,H4,22.08,Y,22,N,0.424242424,
E3,Expert,E3.20,H4,18.13,Y,16,N,0.424242424,
E3,Expert,E3.21,H4,19.11,Y,9,N,0.424242424,
E3,Expert,E3.22,H4,6.75,Y,4,Y,0.424242424,
E3,Expert,E3.23,H4,0.75,Y,1,Y,0.424242424,
E3,Expert,E3.24,H4,15.98,Y,15,N,0.424242424,
E3,Expert,E3.25,H4,26.66,Y,15,N,0.424242424,
E3,Expert,E3.26,H4,16.16,Y,10,Y,0.424242424,
E3,Expert,E3.28,H4,13.49,Y,7,N,0.424242424,
E3,Expert,E3.29,H4,30.41,Y,17,N,0.424242424,
E3,Expert,E3.30,H4,16.09,Y,9,N,0.424242424,
E3,Expert,E3.32,H4,9.44,Y,2,N,0.424242424,
E3,Expert,E3.33,H4,5.37,Y,2,N,0.424242424,
E3,Expert,E3.35,H4,14.94,Y,9,N,0.424242424,
E3,Expert,E3.36,H4,13.11,Y,6,N,0.424242424,
E2,Expert,E2.1,H1,35.26,Y,15,N,0.611111111,divided by 36
E2,Expert,E2.2,H1,9.69,Y,3,Y,0.611111111,
E2,Expert,E2.3,H1,58.11,Y,22,N,0.611111111,
E2,Expert,E2.4,H1,1.89,Y,1,Y,0.611111111,
E2,Expert,E2.5,H1,3.47,Y,3,Y,0.611111111,
E2,Expert,E2.6,H1,2.32,Y,1,N,0.611111111,
E2,Expert,E2.7,H1,1.67,Y,1,Y,0.611111111,
E2,Expert,E2.8,H1,1.04,N,2,Y,0.611111111,
E2,Expert,E2.9,H1,29.93,N,26,N,0.611111111,
E2,Expert,E2.10,H1,17.97,Y,19,N,0.611111111,
E2,Expert,E2.11,H1,3.74,Y,5,Y,0.611111111,
E2,Expert,E2.12,H1,54.46,Y,38,Y,0.611111111,
E2,Expert,E2.13,H1,1.06,N,1,Y,0.611111111,
E2,Expert,E2.14,H1,21.28,Y,7,Y,0.611111111,
E2,Expert,E2.15,H1,2.06,Y,2,Y,0.611111111,
E2,Expert,E2.16,H1,5.02,Y,4,Y,0.611111111,
E2,Expert,E2.17,H1,4.14,Y,3,Y,0.611111111,
E2,Expert,E2.18,H1,9.59,Y,9,Y,0.611111111,
E2,Expert,E2.19,H1,20.21,Y,18,N,0.611111111,
E2,Expert,E2.20,H1,3.04,Y,2,Y,0.611111111,
E2,Expert,E2.21,H1,18.06,Y,13,Y,0.611111111,
E2,Expert,E2.23,H1,23.76,Y,17,Y,0.611111111,
E2,Expert,E2.24,H1,7.06,Y,3,Y,0.611111111,
E2,Expert,E2.25,H1,2.42,Y,2,N,0.611111111,
E2,Expert,E2.26,H1,13.04,Y,9,N,0.611111111,
E2,Expert,E2.27,H1,1.51,Y,1,N,0.611111111,
E2,Expert,E2.28,H1,8.09,Y,5,N,0.611111111,
E2,Expert,E2.29,H1,28.79,Y,10,N,0.611111111,
E2,Expert,E2.30,H1,1.07,Y,2,Y,0.611111111,
E2,Expert,E2.31,H1,19.81,Y,23,Y,0.611111111,
E2,Expert,E2.32,H1,1.15,Y,2,Y,0.611111111,
E2,Expert,E2.33,H1,3.15,Y,2,Y,0.611111111,
E2,Expert,E2.34,H1,33.03,N,37,N,0.611111111,
E2,Expert,E2.35,H1,19.17,N,26,N,0.611111111,
E2,Expert,E2.36,H1,14.69,N,10,N,0.611111111,
E2,Expert,E2.37,H1,33.79,N,27,N,0.611111111,
E1,Expert,E1.1,H4,24.37,N,14,N,0.303030303,divided by 33
E1,Expert,E1.2,H4,12.02,N,2,N,0.303030303,
E1,Expert,E1.3,H4,9.08,Y,2,N,0.303030303,
E1,Expert,E1.4,H4,15.87,N,12,N,0.303030303,
E1,Expert,E1.5,H4,3.47,N,3,Y,0.303030303,
E1,Expert,E1.6,H4,2.21,Y,1,N,0.303030303,
E1,Expert,E1.7,H4,17.24,N,12,N,0.303030303,
E1,Expert,E1.8,H4,43.96,N,58,N,0.303030303,
E1,Expert,E1.9,H4,3.11,N,3,N,0.303030303,
E1,Expert,E1.10,H4,6.03,N,12,Y,0.303030303,
E1,Expert,E1.11,H4,16.77,Y,15,Y,0.303030303,
E1,Expert,E1.12,H4,8.34,N,12,N,0.303030303,
E1,Expert,E1.13,H4,7.24,N,9,N,0.303030303,
E1,Expert,E1.14,H4,1.52,Y,1,N,0.303030303,
E1,Expert,E1.15,H4,2.32,N,2,Y,0.303030303,
E1,Expert,E1.16,H4,2.24,Y,3,N,0.303030303,
E1,Expert,E1.17,H4,14.69,Y,9,N,0.303030303,
E1,Expert,E1.18,H4,14.86,Y,15,N,0.303030303,
E1,Expert,E1.19,H4,14.31,Y,9,N,0.303030303,
E1,Expert,E1.20,H4,12.29,N,10,Y,0.303030303,
E1,Expert,E1.21,H4,4.81,Y,7,Y,0.303030303,
E1,Expert,E1.22,H4,11.99,N,22,N,0.303030303,
E1,Expert,E1.23,H4,1.49,Y,3,Y,0.303030303,
E1,Expert,E1.24,H4,30.34,Y,43,N,0.303030303,
E1,Expert,E1.25,H4,3.63,Y,5,N,0.303030303,
E1,Expert,E1.26,H4,2.21,Y,2,N,0.303030303,
E1,Expert,E1.27,H4,17.81,Y,16,N,0.303030303,
E1,Expert,E1.28,H4,8.51,Y,8,Y,0.303030303,
E1,Expert,E1.29,H4,2.24,N,3,Y,0.303030303,
E1,Expert,E1.30,H4,4.01,N,4,Y,0.303030303,
E1,Expert,E1.31,H4,22.52,Y,20,N,0.303030303,
E1,Expert,E1.32,H4,5.32,N,6,N,0.303030303,
E1,Expert,E1.33,H4,14.17,N,17,N,0.303030303,
N10,Novice,N10.1,H1,25.21,N,45,Y,0.2,
N10,Novice,N10.2,"H1, H4",181.43,N,252,N,0.2,
N10,Novice,N10.3,H4,303.00,N,13,Y,0.2,
N10,Novice,N10.4,H4,41.89,N,83,N,0.2,
N10,Novice,N10.5,"H4, H6",73.01,Y,132,N,0.2,
N10,Novice,N10.6,H6,10.90,N,24,N,0.2,
N10,Novice,N10.7,"H6, H1",74.15,N,148,N,0.2,
N10,Novice,N10.8,"H1, H6",76.55,N,116,N,0.2,
N10,Novice,N10.9,"H6, H3",113.49,N,133,N,0.2,
N10,Novice,N10.10,H3,147.80,N,200,N,0.2,
N7,Novice,N7.1,H7,141.40,Y,104,N,0.2,
N7,Novice,N7.2,H6,143.50,Y,83,N,0.2,
N7,Novice,N7.3,H6,293.98,N,525,N,0.2,
N7,Novice,N7.4,H6,165.23,N,320,Y,0.2,
N7,Novice,N7.5,H6,535.42,N,918,N,0.2,
N7,Novice,N7.6,H6,56.86,N,217,N,0.2,
N7,Novice,N7.7,H6,167.33,Y,267,N,0.2,
N7,Novice,N7.8,H6,32.75,N,46,N,0.2,
N7,Novice,N7.9,H6,357.62,N,537,Y,0.2,
N7,Novice,N7.10,H6,484.98,N,432,N,0.2,
N1,Novice,N1.1,H6,152.70,Y,155,N,0.4,
N1,Novice,N1.2,H6,124.51,Y,232,N,0.4,
N1,Novice,N1.3,H6,28.33,Y,45,Y,0.4,
N1,Novice,N1.4,H6,51.93,N,109,Y,0.4,
N1,Novice,N1.5,H6,120.78,N,242,N,0.4,
N1,Novice,N1.6,H6,259.60,Y,430,N,0.4,
N1,Novice,N1.7,H6,150.88,Y,250,N,0.4,
N1,Novice,N1.8,H6,40.21,N,76,Y,0.4,
N1,Novice,N1.9,H6,121.71,N,131,N,0.4,
N1,Novice,N1.10,H6,52.55,N,106,Y,0.4,
N6,Novice,N6.1,H6,155.78,N,53,N,0.1,
N6,Novice,N6.2,H6,262.81,N,59,N,0.1,
N6,Novice,N6.3,H6,183.55,N,281,N,0.1,
N6,Novice,N6.4,H4,136.36,N,299,N,0.1,
N6,Novice,N6.5,H4,176.47,N,106,N,0.1,
N6,Novice,N6.6,H4,2.80,N,138,Y,0.1,
N6,Novice,N6.7,H4,191.65,N,4,N,0.1,
N6,Novice,N6.8,H3,201.00,N,262,N,0.1,
N6,Novice,N6.9,H3,148.38,N,320,N,0.1,
N6,Novice,N6.10,H3,219.53,N,197,N,0.1,
N4,Novice,N4.1,H4,312.40,N,99,N,0.3,
N4,Novice,N4.2,H4,236.31,N,193,N,0.3,
N4,Novice,N4.3,H4,165.70,N,90,N,0.3,
N4,Novice,N4.4,H4,63.56,N,37,N,0.3,
N4,Novice,N4.5,H4,165.80,N,143,N,0.3,
N4,Novice,N4.6,H4,150.13,N,131,Y,0.3,
N4,Novice,N4.7,H4,73.20,N,63,N,0.3,
N4,Novice,N4.8,H4,136.10,N,89,N,0.3,
N4,Novice,N4.9,H4,120.20,N,78,Y,0.3,
N4,Novice,N4.10,H4,7.32,N,3,Y,0.3,
N9,Novice,N9.1,H4,168.30,N,88,N,0.6,
N9,Novice,N9.2,H4,33.98,N,19,Y,0.6,
N9,Novice,N9.3,H4,1.65,N,1,Y,0.6,
N9,Novice,N9.4,H4,50.90,N,43,Y,0.6,
N9,Novice,N9.5,H4,3.15,N,1,Y,0.6,
N9,Novice,N9.6,H4,185.00,N,66,Y,0.6,
N9,Novice,N9.7,H4,148.41,N,138,N,0.6,
N9,Novice,N9.8,H4,124.07,N,96,N,0.6,
N9,Novice,N9.9,H1,151.71,N,250,N,0.6,
N9,Novice,N9.10,H4,3.41,N,5,Y,0.6,
N5,Novice,N5.1,H4,600.00,N,909,N,0,
N5,Novice,N5.2,H4,236.46,N,388,N,0,
N5,Novice,N5.3,H4,251.31,N,439,N,0,
N5,Novice,N5.4,H3,261.62,N,570,N,0,
N5,Novice,N5.5,H3,300.00,N,614,N,0,
N5,Novice,N5.6,H5,127.56,N,310,N,0,
N5,Novice,N5.7,"H5, H2",177.67,N,375,N,0,
N5,Novice,N5.8,H2,205.70,N,417,N,0,
N5,Novice,N5.9,H5,191.56,N,410,N,0,
N5,Novice,N5.10,H5,223.35,N,510,N,0,
N11,Novice,N11.1,H6,95.60,N,73,N,0.2,
N11,Novice,N11.2,"H6, H1",219.77,N,273,N,0.2,
N11,Novice,N11.3,H1,51.63,Y,63,Y,0.2,
N11,Novice,N11.4,H1,47.11,N,56,N,0.2,
N11,Novice,N11.5,H1,117.80,Y,227,Y,0.2,
N11,Novice,N11.6,H1,185.62,N,403,N,0.2,
N11,Novice,N11.7,H1,70.36,N,98,N,0.2,
N11,Novice,N11.8,H1,75.38,N,80,N,0.2,
N11,Novice,N11.9,H3,144.06,Y,203,N,0.2,
N11,Novice,N11.10,H3,164.28,N,203,N,0.2,
N2,Novice,N2.1,H4,151.92,N,189,N,0,
N2,Novice,N2.10,H4,10.08,N,13,N,0,
N2,Novice,N2.7,H4,167.08,N,265,N,0,
N2,Novice,N2.5,H3,145.62,N,185,N,0,
N2,Novice,N2.9,H2,134.38,N,183,N,0,
N2,Novice,N2.8,H4,87.50,N,124,N,0,
N2,Novice,N2.6,retired,N/A,N/A,N/A,N,0,
N2,Novice,N2.4,retired,N/A,N/A,N/A,N,0,
N2,Novice,N2.2,N,52.08,N,61,N,0,
N2,Novice,N2.3,N,34.78,N,40,N,0,
