,Participant.number,Participant.group,Cobble.number,Hammerstine.number,Time.s.,Taps.Y.N.,Strikes,Split.No.split,Prob.success.,Notes,time.bins,strikes.bins
1,E1,Expert,E1.01,H4,24.37,N,14,N,0.303030303,divided by 33,4,3
2,E1,Expert,E1.02,H4,12.02,N,2,N,0.303030303,,3,1
3,E1,Expert,E1.03,H4,9.08,Y,2,N,0.303030303,,2,1
4,E1,Expert,E1.04,H4,15.87,N,12,N,0.303030303,,3,3
5,E1,Expert,E1.05,H4,3.47,N,3,Y,0.303030303,,1,1
6,E1,Expert,E1.06,H4,2.21,Y,1,N,0.303030303,,1,1
7,E1,Expert,E1.07,H4,17.24,N,12,N,0.303030303,,3,3
8,E1,Expert,E1.08,H4,43.96,N,58,N,0.303030303,,5,5
9,E1,Expert,E1.09,H4,3.11,N,3,N,0.303030303,,1,1
10,E1,Expert,E1.10,H4,6.03,N,12,Y,0.303030303,,2,3
11,E1,Expert,E1.11,H4,16.77,Y,15,Y,0.303030303,,3,3
12,E1,Expert,E1.12,H4,8.34,N,12,N,0.303030303,,2,3
13,E1,Expert,E1.13,H4,7.24,N,9,N,0.303030303,,2,2
14,E1,Expert,E1.14,H4,1.52,Y,1,N,0.303030303,,1,1
15,E1,Expert,E1.15,H4,2.32,N,2,Y,0.303030303,,1,1
16,E1,Expert,E1.16,H4,2.24,Y,3,N,0.303030303,,1,1
17,E1,Expert,E1.17,H4,14.69,Y,9,N,0.303030303,,3,2
18,E1,Expert,E1.18,H4,14.86,Y,15,N,0.303030303,,3,3
19,E1,Expert,E1.19,H4,14.31,Y,9,N,0.303030303,,3,2
20,E1,Expert,E1.20,H4,12.29,N,10,Y,0.303030303,,3,2
21,E1,Expert,E1.21,H4,4.81,Y,7,Y,0.303030303,,1,2
22,E1,Expert,E1.22,H4,11.99,N,22,N,0.303030303,,3,4
23,E1,Expert,E1.23,H4,1.49,Y,3,Y,0.303030303,,1,1
24,E1,Expert,E1.24,H4,30.34,Y,43,N,0.303030303,,4,5
25,E1,Expert,E1.25,H4,3.63,Y,5,N,0.303030303,,1,1
26,E1,Expert,E1.26,H4,2.21,Y,2,N,0.303030303,,1,1
27,E1,Expert,E1.27,H4,17.81,Y,16,N,0.303030303,,3,3
28,E1,Expert,E1.28,H4,8.51,Y,8,Y,0.303030303,,2,2
29,E1,Expert,E1.29,H4,2.24,N,3,Y,0.303030303,,1,1
30,E1,Expert,E1.30,H4,4.01,N,4,Y,0.303030303,,1,1
31,E1,Expert,E1.31,H4,22.52,Y,20,N,0.303030303,,4,3
32,E1,Expert,E1.32,H4,5.32,N,6,N,0.303030303,,2,2
33,E1,Expert,E1.33,H4,14.17,N,17,N,0.303030303,,3,3
34,E2,Expert,E2.01,H1,35.26,Y,15,N,0.636363636,,4,3
35,E2,Expert,E2.02,H1,9.69,Y,3,Y,0.636363636,,2,1
36,E2,Expert,E2.03,H1,58.11,Y,22,N,0.636363636,,5,4
37,E2,Expert,E2.04,H1,1.89,Y,1,Y,0.636363636,,1,1
38,E2,Expert,E2.05,H1,3.47,Y,3,Y,0.636363636,,1,1
39,E2,Expert,E2.06,H1,2.32,Y,1,N,0.636363636,,1,1
40,E2,Expert,E2.07,H1,1.67,Y,1,Y,0.636363636,,1,1
41,E2,Expert,E2.08,H1,1.04,N,2,Y,0.636363636,,1,1
42,E2,Expert,E2.09,H1,29.93,N,26,N,0.636363636,,4,4
43,E2,Expert,E2.10,H1,17.97,Y,19,N,0.636363636,,3,3
44,E2,Expert,E2.11,H1,3.74,Y,5,Y,0.636363636,,1,1
45,E2,Expert,E2.12,H1,54.46,Y,38,Y,0.636363636,,5,4
46,E2,Expert,E2.13,H1,1.06,N,1,Y,0.636363636,,1,1
47,E2,Expert,E2.14,H1,21.28,Y,7,Y,0.636363636,,4,2
48,E2,Expert,E2.15,H1,2.06,Y,2,Y,0.636363636,,1,1
49,E2,Expert,E2.16,H1,5.02,Y,4,Y,0.636363636,,2,1
50,E2,Expert,E2.17,H1,4.14,Y,3,Y,0.636363636,,1,1
51,E2,Expert,E2.18,H1,9.59,Y,9,Y,0.636363636,,2,2
52,E2,Expert,E2.19,H1,20.21,Y,18,N,0.636363636,,4,3
53,E2,Expert,E2.20,H1,3.04,Y,2,Y,0.636363636,,1,1
54,E2,Expert,E2.21,H1,18.06,Y,13,Y,0.636363636,,3,3
55,E2,Expert,E2.23,H1,23.76,Y,17,Y,0.636363636,,4,3
56,E2,Expert,E2.24,H1,7.06,Y,3,Y,0.636363636,,2,1
57,E2,Expert,E2.25,H1,2.42,Y,2,N,0.636363636,,1,1
58,E2,Expert,E2.26,H1,13.04,Y,9,N,0.636363636,,3,2
59,E2,Expert,E2.27,H1,1.51,Y,1,N,0.636363636,,1,1
60,E2,Expert,E2.28,H1,8.09,Y,5,N,0.636363636,,2,1
61,E2,Expert,E2.29,H1,28.79,Y,10,N,0.636363636,,4,2
62,E2,Expert,E2.30,H1,1.07,Y,2,Y,0.636363636,,1,1
63,E2,Expert,E2.31,H1,19.81,Y,23,Y,0.636363636,,3,4
64,E2,Expert,E2.32,H1,1.15,Y,2,Y,0.636363636,,1,1
65,E2,Expert,E2.33,H1,3.15,Y,2,Y,0.636363636,,1,1
66,E2,Expert,E2.34,H1,33.03,N,37,N,0.636363636,,4,4
67,E3,Expert,E3.01,H4,9,Y,21,Y,0.424242424,divided by 33,2,4
68,E3,Expert,E3.02,H4,6.4,Y,3,Y,0.424242424,,2,1
69,E3,Expert,E3.03,H4,4.19,Y,2,Y,0.424242424,,1,1
70,E3,Expert,E3.04,H4,6.69,Y,5,N,0.424242424,,2,1
71,E3,Expert,E3.05,H4,2.52,Y,2,Y,0.424242424,,1,1
72,E3,Expert,E3.06,H4,24.64,Y,10,Y,0.424242424,,4,2
73,E3,Expert,E3.07,H4,19.21,Y,15,N,0.424242424,,3,3
74,E3,Expert,E3.08,H4,2.54,Y,1,N,0.424242424,,1,1
75,E3,Expert,E3.09,H4,9.71,Y,6,Y,0.424242424,,2,2
76,E3,Expert,E3.10,H4,16,Y,7,N,0.424242424,,3,2
77,E3,Expert,E3.11,H4,2.49,Y,2,Y,0.424242424,,1,1
78,E3,Expert,E3.12,H4,1.07,N,1,Y,0.424242424,,1,1
79,E3,Expert,E3.13,H4,3,Y,2,N,0.424242424,,1,1
80,E3,Expert,E3.14,H4,3.97,Y,3,N,0.424242424,,1,1
81,E3,Expert,E3.15,H4,24.6,Y,13,Y,0.424242424,,4,3
82,E3,Expert,E3.16,H4,14.22,Y,10,N,0.424242424,,3,2
83,E3,Expert,E3.17,H4,6.53,Y,2,Y,0.424242424,,2,1
84,E3,Expert,E3.18,H4,1.7,Y,1,Y,0.424242424,,1,1
85,E3,Expert,E3.19,H4,22.08,Y,22,N,0.424242424,,4,4
86,E3,Expert,E3.20,H4,18.13,Y,16,N,0.424242424,,3,3
87,E3,Expert,E3.21,H4,19.11,Y,9,N,0.424242424,,3,2
88,E3,Expert,E3.22,H4,6.75,Y,4,Y,0.424242424,,2,1
89,E3,Expert,E3.23,H4,0.75,Y,1,Y,0.424242424,,1,1
90,E3,Expert,E3.24,H4,15.98,Y,15,N,0.424242424,,3,3
91,E3,Expert,E3.25,H4,26.66,Y,15,N,0.424242424,,4,3
92,E3,Expert,E3.26,H4,16.16,Y,10,Y,0.424242424,,3,2
93,E3,Expert,E3.28,H4,13.49,Y,7,N,0.424242424,,3,2
94,E3,Expert,E3.29,H4,30.41,Y,17,N,0.424242424,,4,3
95,E3,Expert,E3.30,H4,16.09,Y,9,N,0.424242424,,3,2
96,E3,Expert,E3.32,H4,9.44,Y,2,N,0.424242424,,2,1
97,E3,Expert,E3.33,H4,5.37,Y,2,N,0.424242424,,2,1
98,E3,Expert,E3.35,H4,14.94,Y,9,N,0.424242424,,3,2
99,E3,Expert,E3.36,H4,13.11,Y,6,N,0.424242424,,3,2
100,N1,Novice,N1.01,H6,152.7,Y,155,N,0.4,,6,6
101,N1,Novice,N1.02,H6,124.51,Y,232,N,0.4,,6,7
102,N1,Novice,N1.03,H6,28.33,Y,45,Y,0.4,,4,5
103,N1,Novice,N1.04,H6,51.93,N,109,Y,0.4,,5,6
104,N1,Novice,N1.05,H6,120.78,N,242,N,0.4,,6,7
105,N1,Novice,N1.06,H6,259.6,Y,430,N,0.4,,7,8
106,N1,Novice,N1.07,H6,150.88,Y,250,N,0.4,,6,7
107,N1,Novice,N1.08,H6,40.21,N,76,Y,0.4,,5,5
108,N1,Novice,N1.09,H6,121.71,N,131,N,0.4,,6,6
109,N1,Novice,N1.10,H6,52.55,N,106,Y,0.4,,5,6
110,N10,Novice,N10.01,H1,25.21,N,45,Y,0.2,,4,5
111,N10,Novice,N10.02,"H1, H4",181.43,N,252,N,0.2,,7,7
112,N10,Novice,N10.03,H4,303,N,13,Y,0.2,,7,3
113,N10,Novice,N10.04,H4,41.89,N,83,N,0.2,,5,6
114,N10,Novice,N10.05,"H4, H6",73.01,Y,132,N,0.2,,5,6
115,N10,Novice,N10.06,H6,10.9,N,24,N,0.2,,3,4
116,N10,Novice,N10.07,"H6, H1",74.15,N,148,N,0.2,,5,6
117,N10,Novice,N10.08,"H1, H6",76.55,N,116,N,0.2,,5,6
118,N10,Novice,N10.09,"H6, H3",113.49,N,133,N,0.2,,6,6
119,N10,Novice,N10.10,H3,147.8,N,200,N,0.2,,6,7
120,N11,Novice,N11.01,H6,95.6,N,73,N,0.2,,6,5
121,N11,Novice,N11.02,"H6, H1",219.77,N,273,N,0.2,,7,7
122,N11,Novice,N11.03,H1,51.63,Y,63,Y,0.2,,5,5
123,N11,Novice,N11.04,H1,47.11,N,56,N,0.2,,5,5
124,N11,Novice,N11.05,H1,117.8,Y,227,Y,0.2,,6,7
125,N11,Novice,N11.06,H1,185.62,N,403,N,0.2,,7,8
126,N11,Novice,N11.07,H1,70.36,N,98,N,0.2,,5,6
127,N11,Novice,N11.08,H1,75.38,N,80,N,0.2,,5,5
128,N11,Novice,N11.09,H3,144.06,Y,203,N,0.2,,6,7
129,N11,Novice,N11.10,H3,164.28,N,203,N,0.2,,7,7
130,N2,Novice,N2.01,H4,151.92,N,189,N,0,,6,7
131,N2,Novice,N2.02,N,52.08,N,61,N,0,,5,5
132,N2,Novice,N2.03,N,34.78,N,40,N,0,,4,4
133,N2,Novice,N2.04,retired,0,N/A,0,N,0,,1,1
134,N2,Novice,N2.05,H3,145.62,N,185,N,0,,6,7
135,N2,Novice,N2.06,retired,0,N/A,0,N,0,,1,1
136,N2,Novice,N2.07,H4,167.08,N,265,N,0,,7,7
137,N2,Novice,N2.08,H4,87.5,N,124,N,0,,6,6
138,N2,Novice,N2.09,H2,134.38,N,183,N,0,,6,7
139,N2,Novice,N2.10,H4,10.08,N,13,N,0,,3,3
140,N4,Novice,N4.01,H4,312.4,N,99,N,0.3,,7,6
141,N4,Novice,N4.02,H4,236.31,N,193,N,0.3,,7,7
142,N4,Novice,N4.03,H4,165.7,N,90,N,0.3,,7,6
143,N4,Novice,N4.04,H4,63.56,N,37,N,0.3,,5,4
144,N4,Novice,N4.05,H4,165.8,N,143,N,0.3,,7,6
145,N4,Novice,N4.06,H4,150.13,N,131,Y,0.3,,6,6
146,N4,Novice,N4.07,H4,73.2,N,63,N,0.3,,5,5
147,N4,Novice,N4.08,H4,136.1,N,89,N,0.3,,6,6
148,N4,Novice,N4.09,H4,120.2,N,78,Y,0.3,,6,5
149,N4,Novice,N4.10,H4,7.32,N,3,Y,0.3,,2,1
150,N5,Novice,N5.01,H4,600,N,909,N,0,,8,8
151,N5,Novice,N5.02,H4,236.46,N,388,N,0,,7,8
152,N5,Novice,N5.03,H4,251.31,N,439,N,0,,7,8
153,N5,Novice,N5.04,H3,261.62,N,570,N,0,,7,8
154,N5,Novice,N5.05,H3,300,N,614,N,0,,7,8
155,N5,Novice,N5.06,H5,127.56,N,310,N,0,,6,7
156,N5,Novice,N5.07,"H5, H2",177.67,N,375,N,0,,7,8
157,N5,Novice,N5.08,H2,205.7,N,417,N,0,,7,8
158,N5,Novice,N5.09,H5,191.56,N,410,N,0,,7,8
159,N5,Novice,N5.10,H5,223.35,N,510,N,0,,7,8
160,N6,Novice,N6.01,H6,155.78,N,53,N,0.1,,6,5
161,N6,Novice,N6.02,H6,262.81,N,59,N,0.1,,7,5
162,N6,Novice,N6.03,H6,183.55,N,281,N,0.1,,7,7
163,N6,Novice,N6.04,H4,136.36,N,299,N,0.1,,6,7
164,N6,Novice,N6.05,H4,176.47,N,106,N,0.1,,7,6
165,N6,Novice,N6.06,H4,2.8,N,138,Y,0.1,,1,6
166,N6,Novice,N6.07,H4,191.65,N,4,N,0.1,,7,1
167,N6,Novice,N6.08,H3,201,N,262,N,0.1,,7,7
168,N6,Novice,N6.09,H3,148.38,N,320,N,0.1,,6,7
169,N6,Novice,N6.10,H3,219.53,N,197,N,0.1,,7,7
170,N7,Novice,N7.01,H7,141.4,Y,104,N,0.2,,6,6
171,N7,Novice,N7.02,H6,143.5,Y,83,N,0.2,,6,6
172,N7,Novice,N7.03,H6,293.98,N,525,N,0.2,,7,8
173,N7,Novice,N7.04,H6,165.23,N,320,Y,0.2,,7,7
174,N7,Novice,N7.05,H6,535.42,N,918,N,0.2,,8,8
175,N7,Novice,N7.06,H6,56.86,N,217,N,0.2,,5,7
176,N7,Novice,N7.07,H6,167.33,Y,267,N,0.2,,7,7
177,N7,Novice,N7.08,H6,32.75,N,46,N,0.2,,4,5
178,N7,Novice,N7.09,H6,357.62,N,537,Y,0.2,,8,8
179,N7,Novice,N7.10,H6,484.98,N,432,N,0.2,,8,8
180,N9,Novice,N9.01,H4,168.3,N,88,N,0.6,,7,6
181,N9,Novice,N9.02,H4,33.98,N,19,Y,0.6,,4,3
182,N9,Novice,N9.03,H4,1.65,N,1,Y,0.6,,1,1
183,N9,Novice,N9.04,H4,50.9,N,43,Y,0.6,,5,5
184,N9,Novice,N9.05,H4,3.15,N,1,Y,0.6,,1,1
185,N9,Novice,N9.06,H4,185,N,66,Y,0.6,,7,5
186,N9,Novice,N9.07,H4,148.41,N,138,N,0.6,,6,6
187,N9,Novice,N9.08,H4,124.07,N,96,N,0.6,,6,6
188,N9,Novice,N9.09,H1,151.71,N,250,N,0.6,,6,7
189,N9,Novice,N9.10,H4,3.41,N,5,Y,0.6,,1,1
