"statistic","signif.level","dif.com.obs.dif","dif.com.critical.dif","dif.com.difference"
"E1-E2","Multiple comparison test after Kruskal-Wallis",0.001,8.22727272727273,58.2651960255885,FALSE
"E1-E3","Multiple comparison test after Kruskal-Wallis",0.001,8.51515151515152,58.2651960255885,FALSE
"E1-N1","Multiple comparison test after Kruskal-Wallis",0.001,85.3393939393939,85.4335478368161,FALSE
"E1-N10","Multiple comparison test after Kruskal-Wallis",0.001,70.6893939393939,85.4335478368161,FALSE
"E1-N11","Multiple comparison test after Kruskal-Wallis",0.001,82.3893939393939,85.4335478368161,FALSE
"E1-N2","Multiple comparison test after Kruskal-Wallis",0.001,45.7893939393939,85.4335478368161,FALSE
"E1-N4","Multiple comparison test after Kruskal-Wallis",0.001,61.6393939393939,85.4335478368161,FALSE
"E1-N5","Multiple comparison test after Kruskal-Wallis",0.001,118.539393939394,85.4335478368161,TRUE
"E1-N6","Multiple comparison test after Kruskal-Wallis",0.001,78.1393939393939,85.4335478368161,FALSE
"E1-N7","Multiple comparison test after Kruskal-Wallis",0.001,99.8393939393939,85.4335478368161,TRUE
"E1-N9","Multiple comparison test after Kruskal-Wallis",0.001,35.4393939393939,85.4335478368161,FALSE
"E2-E3","Multiple comparison test after Kruskal-Wallis",0.001,0.287878787878789,58.2651960255885,FALSE
"E2-N1","Multiple comparison test after Kruskal-Wallis",0.001,93.5666666666667,85.4335478368161,TRUE
"E2-N10","Multiple comparison test after Kruskal-Wallis",0.001,78.9166666666667,85.4335478368161,FALSE
"E2-N11","Multiple comparison test after Kruskal-Wallis",0.001,90.6166666666666,85.4335478368161,TRUE
"E2-N2","Multiple comparison test after Kruskal-Wallis",0.001,54.0166666666667,85.4335478368161,FALSE
"E2-N4","Multiple comparison test after Kruskal-Wallis",0.001,69.8666666666667,85.4335478368161,FALSE
"E2-N5","Multiple comparison test after Kruskal-Wallis",0.001,126.766666666667,85.4335478368161,TRUE
"E2-N6","Multiple comparison test after Kruskal-Wallis",0.001,86.3666666666666,85.4335478368161,TRUE
"E2-N7","Multiple comparison test after Kruskal-Wallis",0.001,108.066666666667,85.4335478368161,TRUE
"E2-N9","Multiple comparison test after Kruskal-Wallis",0.001,43.6666666666667,85.4335478368161,FALSE
"E3-N1","Multiple comparison test after Kruskal-Wallis",0.001,93.8545454545455,85.4335478368161,TRUE
"E3-N10","Multiple comparison test after Kruskal-Wallis",0.001,79.2045454545455,85.4335478368161,FALSE
"E3-N11","Multiple comparison test after Kruskal-Wallis",0.001,90.9045454545454,85.4335478368161,TRUE
"E3-N2","Multiple comparison test after Kruskal-Wallis",0.001,54.3045454545454,85.4335478368161,FALSE
"E3-N4","Multiple comparison test after Kruskal-Wallis",0.001,70.1545454545455,85.4335478368161,FALSE
"E3-N5","Multiple comparison test after Kruskal-Wallis",0.001,127.054545454545,85.4335478368161,TRUE
