"statistic","signif.level","dif.com.obs.dif","dif.com.critical.dif","dif.com.difference"
"E1-E2","Multiple comparison test after Kruskal-Wallis",0.05,26.1,24.4659227016848,TRUE
"E1-E3","Multiple comparison test after Kruskal-Wallis",0.05,21.6,26.365256617199,FALSE
"E1-N1","Multiple comparison test after Kruskal-Wallis",0.05,4.65,37.6724982956439,FALSE
"E1-N10","Multiple comparison test after Kruskal-Wallis",0.05,17.6,49.3248785879666,FALSE
"E1-N11","Multiple comparison test after Kruskal-Wallis",0.05,11.4,49.3248785879666,FALSE
"E1-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E1-N4","Multiple comparison test after Kruskal-Wallis",0.05,14.7666666666667,41.9180864042727,FALSE
"E1-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E1-N6","Multiple comparison test after Kruskal-Wallis",0.05,15.9,66.786201325441,FALSE
"E1-N7","Multiple comparison test after Kruskal-Wallis",0.05,13.4,49.3248785879666,FALSE
"E1-N9","Multiple comparison test after Kruskal-Wallis",0.05,33.4333333333333,32.8832523919777,TRUE
"E2-E3","Multiple comparison test after Kruskal-Wallis",0.05,4.5,21.9710471809992,FALSE
"E2-N1","Multiple comparison test after Kruskal-Wallis",0.05,30.75,34.7392758354895,FALSE
"E2-N10","Multiple comparison test after Kruskal-Wallis",0.05,8.5,47.12264641822,FALSE
"E2-N11","Multiple comparison test after Kruskal-Wallis",0.05,37.5,47.12264641822,FALSE
"E2-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E2-N4","Multiple comparison test after Kruskal-Wallis",0.05,11.3333333333333,39.3030040268554,FALSE
"E2-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E2-N6","Multiple comparison test after Kruskal-Wallis",0.05,42,65.1766587454533,FALSE
"E2-N7","Multiple comparison test after Kruskal-Wallis",0.05,39.5,47.12264641822,FALSE
"E2-N9","Multiple comparison test after Kruskal-Wallis",0.05,7.33333333333334,29.4772530201415,FALSE
"E3-N1","Multiple comparison test after Kruskal-Wallis",0.05,26.25,36.1021144591306,FALSE
"E3-N10","Multiple comparison test after Kruskal-Wallis",0.05,4,48.1361526121741,FALSE
"E3-N11","Multiple comparison test after Kruskal-Wallis",0.05,33,48.1361526121741,FALSE
"E3-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E3-N4","Multiple comparison test after Kruskal-Wallis",0.05,6.83333333333333,40.5126092517002,FALSE
"E3-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E3-N6","Multiple comparison test after Kruskal-Wallis",0.05,37.5,65.9131415429975,FALSE
"E3-N7","Multiple comparison test after Kruskal-Wallis",0.05,35,48.1361526121741,FALSE
"E3-N9","Multiple comparison test after Kruskal-Wallis",0.05,11.8333333333333,31.0717529029082,FALSE
"N1-N10","Multiple comparison test after Kruskal-Wallis",0.05,22.25,55.1468907523085,FALSE
"N1-N11","Multiple comparison test after Kruskal-Wallis",0.05,6.75,55.1468907523085,FALSE
"N1-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N1-N4","Multiple comparison test after Kruskal-Wallis",0.05,19.4166666666667,48.6349861696853,FALSE
"N1-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N1-N6","Multiple comparison test after Kruskal-Wallis",0.05,11.25,71.1943298262702,FALSE
"N1-N7","Multiple comparison test after Kruskal-Wallis",0.05,8.75,55.1468907523085,FALSE
"N1-N9","Multiple comparison test after Kruskal-Wallis",0.05,38.0833333333333,41.1040654899721,FALSE
"N10-N11","Multiple comparison test after Kruskal-Wallis",0.05,29,63.6781444416324,FALSE
"N10-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N10-N4","Multiple comparison test after Kruskal-Wallis",0.05,2.83333333333333,58.1299268845905,FALSE
"N10-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N10-N6","Multiple comparison test after Kruskal-Wallis",0.05,33.5,77.9894808246221,FALSE
"N10-N7","Multiple comparison test after Kruskal-Wallis",0.05,31,63.6781444416324,FALSE
"N10-N9","Multiple comparison test after Kruskal-Wallis",0.05,15.8333333333333,51.9929872164147,FALSE
"N11-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N11-N4","Multiple comparison test after Kruskal-Wallis",0.05,26.1666666666667,58.1299268845905,FALSE
"N11-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N11-N6","Multiple comparison test after Kruskal-Wallis",0.05,4.5,77.9894808246221,FALSE
"N11-N7","Multiple comparison test after Kruskal-Wallis",0.05,2,63.6781444416324,FALSE
"N11-N9","Multiple comparison test after Kruskal-Wallis",0.05,44.8333333333333,51.9929872164147,FALSE
"N2-N4","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N2-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N2-N6","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N2-N7","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N2-N9","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N4-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N4-N6","Multiple comparison test after Kruskal-Wallis",0.05,30.6666666666667,73.5291876697447,FALSE
"N4-N7","Multiple comparison test after Kruskal-Wallis",0.05,28.1666666666667,58.1299268845905,FALSE
"N4-N9","Multiple comparison test after Kruskal-Wallis",0.05,18.6666666666667,45.0272477480547,FALSE
"N5-N6","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N5-N7","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N5-N9","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N6-N7","Multiple comparison test after Kruskal-Wallis",0.05,2.5,77.9894808246221,FALSE
"N6-N9","Multiple comparison test after Kruskal-Wallis",0.05,49.3333333333333,68.7802570469969,FALSE
"N7-N9","Multiple comparison test after Kruskal-Wallis",0.05,46.8333333333333,51.9929872164147,FALSE
