"statistic","signif.level","dif.com.obs.dif","dif.com.critical.dif","dif.com.difference"
"E1-E2","Multiple comparison test after Kruskal-Wallis",0.05,6.81666666666667,24.4659227016848,FALSE
"E1-E3","Multiple comparison test after Kruskal-Wallis",0.05,8.04285714285714,26.365256617199,FALSE
"E1-N1","Multiple comparison test after Kruskal-Wallis",0.05,25.725,37.6724982956439,FALSE
"E1-N10","Multiple comparison test after Kruskal-Wallis",0.05,17.1,49.3248785879666,FALSE
"E1-N11","Multiple comparison test after Kruskal-Wallis",0.05,27.35,49.3248785879666,FALSE
"E1-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E1-N4","Multiple comparison test after Kruskal-Wallis",0.05,16.0166666666667,41.9180864042727,FALSE
"E1-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E1-N6","Multiple comparison test after Kruskal-Wallis",0.05,30.35,66.786201325441,FALSE
"E1-N7","Multiple comparison test after Kruskal-Wallis",0.05,32.85,49.3248785879666,FALSE
"E1-N9","Multiple comparison test after Kruskal-Wallis",0.05,1.26666666666667,32.8832523919777,FALSE
"E2-E3","Multiple comparison test after Kruskal-Wallis",0.05,1.22619047619047,21.9710471809992,FALSE
"E2-N1","Multiple comparison test after Kruskal-Wallis",0.05,32.5416666666667,34.7392758354895,FALSE
"E2-N10","Multiple comparison test after Kruskal-Wallis",0.05,23.9166666666667,47.12264641822,FALSE
"E2-N11","Multiple comparison test after Kruskal-Wallis",0.05,34.1666666666667,47.12264641822,FALSE
"E2-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E2-N4","Multiple comparison test after Kruskal-Wallis",0.05,22.8333333333333,39.3030040268554,FALSE
"E2-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E2-N6","Multiple comparison test after Kruskal-Wallis",0.05,37.1666666666667,65.1766587454533,FALSE
"E2-N7","Multiple comparison test after Kruskal-Wallis",0.05,39.6666666666667,47.12264641822,FALSE
"E2-N9","Multiple comparison test after Kruskal-Wallis",0.05,8.08333333333333,29.4772530201415,FALSE
"E3-N1","Multiple comparison test after Kruskal-Wallis",0.05,33.7678571428571,36.1021144591306,FALSE
"E3-N10","Multiple comparison test after Kruskal-Wallis",0.05,25.1428571428571,48.1361526121741,FALSE
"E3-N11","Multiple comparison test after Kruskal-Wallis",0.05,35.3928571428571,48.1361526121741,FALSE
"E3-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E3-N4","Multiple comparison test after Kruskal-Wallis",0.05,24.0595238095238,40.5126092517002,FALSE
"E3-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E3-N6","Multiple comparison test after Kruskal-Wallis",0.05,38.3928571428571,65.9131415429975,FALSE
"E3-N7","Multiple comparison test after Kruskal-Wallis",0.05,40.8928571428571,48.1361526121741,FALSE
"E3-N9","Multiple comparison test after Kruskal-Wallis",0.05,9.30952380952381,31.0717529029082,FALSE
"N1-N10","Multiple comparison test after Kruskal-Wallis",0.05,8.625,55.1468907523085,FALSE
"N1-N11","Multiple comparison test after Kruskal-Wallis",0.05,1.625,55.1468907523085,FALSE
"N1-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N1-N4","Multiple comparison test after Kruskal-Wallis",0.05,9.70833333333334,48.6349861696853,FALSE
"N1-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N1-N6","Multiple comparison test after Kruskal-Wallis",0.05,4.625,71.1943298262702,FALSE
"N1-N7","Multiple comparison test after Kruskal-Wallis",0.05,7.125,55.1468907523085,FALSE
"N1-N9","Multiple comparison test after Kruskal-Wallis",0.05,24.4583333333333,41.1040654899721,FALSE
"N10-N11","Multiple comparison test after Kruskal-Wallis",0.05,10.25,63.6781444416324,FALSE
"N10-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N10-N4","Multiple comparison test after Kruskal-Wallis",0.05,1.08333333333334,58.1299268845905,FALSE
"N10-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N10-N6","Multiple comparison test after Kruskal-Wallis",0.05,13.25,77.9894808246221,FALSE
"N10-N7","Multiple comparison test after Kruskal-Wallis",0.05,15.75,63.6781444416324,FALSE
"N10-N9","Multiple comparison test after Kruskal-Wallis",0.05,15.8333333333333,51.9929872164147,FALSE
"N11-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N11-N4","Multiple comparison test after Kruskal-Wallis",0.05,11.3333333333333,58.1299268845905,FALSE
"N11-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N11-N6","Multiple comparison test after Kruskal-Wallis",0.05,3,77.9894808246221,FALSE
"N11-N7","Multiple comparison test after Kruskal-Wallis",0.05,5.5,63.6781444416324,FALSE
"N11-N9","Multiple comparison test after Kruskal-Wallis",0.05,26.0833333333333,51.9929872164147,FALSE
"N2-N4","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N2-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N2-N6","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
