"statistic","signif.level","dif.com.obs.dif","dif.com.critical.dif","dif.com.difference"
"E1-E2","Multiple comparison test after Kruskal-Wallis",0.05,0.354761904761904,24.4659227016848,FALSE
"E1-E3","Multiple comparison test after Kruskal-Wallis",0.05,1.58571428571429,26.365256617199,FALSE
"E1-N1","Multiple comparison test after Kruskal-Wallis",0.05,28.3,37.6724982956439,FALSE
"E1-N10","Multiple comparison test after Kruskal-Wallis",0.05,31.05,49.3248785879666,FALSE
"E1-N11","Multiple comparison test after Kruskal-Wallis",0.05,31.05,49.3248785879666,FALSE
"E1-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E1-N4","Multiple comparison test after Kruskal-Wallis",0.05,26.05,41.9180864042727,FALSE
"E1-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E1-N6","Multiple comparison test after Kruskal-Wallis",0.05,8.95,66.786201325441,FALSE
"E1-N7","Multiple comparison test after Kruskal-Wallis",0.05,37.55,49.3248785879666,FALSE
"E1-N9","Multiple comparison test after Kruskal-Wallis",0.05,10.3,32.8832523919777,FALSE
"E2-E3","Multiple comparison test after Kruskal-Wallis",0.05,1.94047619047619,21.9710471809992,FALSE
"E2-N1","Multiple comparison test after Kruskal-Wallis",0.05,28.6547619047619,34.7392758354895,FALSE
"E2-N10","Multiple comparison test after Kruskal-Wallis",0.05,31.4047619047619,47.12264641822,FALSE
"E2-N11","Multiple comparison test after Kruskal-Wallis",0.05,31.4047619047619,47.12264641822,FALSE
"E2-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E2-N4","Multiple comparison test after Kruskal-Wallis",0.05,26.4047619047619,39.3030040268554,FALSE
"E2-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E2-N6","Multiple comparison test after Kruskal-Wallis",0.05,8.59523809523809,65.1766587454533,FALSE
"E2-N7","Multiple comparison test after Kruskal-Wallis",0.05,37.9047619047619,47.12264641822,FALSE
"E2-N9","Multiple comparison test after Kruskal-Wallis",0.05,10.6547619047619,29.4772530201415,FALSE
"E3-N1","Multiple comparison test after Kruskal-Wallis",0.05,26.7142857142857,36.1021144591306,FALSE
"E3-N10","Multiple comparison test after Kruskal-Wallis",0.05,29.4642857142857,48.1361526121741,FALSE
"E3-N11","Multiple comparison test after Kruskal-Wallis",0.05,29.4642857142857,48.1361526121741,FALSE
"E3-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E3-N4","Multiple comparison test after Kruskal-Wallis",0.05,24.4642857142857,40.5126092517002,FALSE
"E3-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"E3-N6","Multiple comparison test after Kruskal-Wallis",0.05,10.5357142857143,65.9131415429975,FALSE
"E3-N7","Multiple comparison test after Kruskal-Wallis",0.05,35.9642857142857,48.1361526121741,FALSE
"E3-N9","Multiple comparison test after Kruskal-Wallis",0.05,8.71428571428572,31.0717529029082,FALSE
"N1-N10","Multiple comparison test after Kruskal-Wallis",0.05,2.75,55.1468907523085,FALSE
"N1-N11","Multiple comparison test after Kruskal-Wallis",0.05,2.75,55.1468907523085,FALSE
"N1-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N1-N4","Multiple comparison test after Kruskal-Wallis",0.05,2.25,48.6349861696853,FALSE
"N1-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N1-N6","Multiple comparison test after Kruskal-Wallis",0.05,37.25,71.1943298262702,FALSE
"N1-N7","Multiple comparison test after Kruskal-Wallis",0.05,9.25,55.1468907523085,FALSE
"N1-N9","Multiple comparison test after Kruskal-Wallis",0.05,18,41.1040654899721,FALSE
"N10-N11","Multiple comparison test after Kruskal-Wallis",0.05,0,63.6781444416324,FALSE
"N10-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N10-N4","Multiple comparison test after Kruskal-Wallis",0.05,5,58.1299268845905,FALSE
"N10-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N10-N6","Multiple comparison test after Kruskal-Wallis",0.05,40,77.9894808246221,FALSE
"N10-N7","Multiple comparison test after Kruskal-Wallis",0.05,6.5,63.6781444416324,FALSE
"N10-N9","Multiple comparison test after Kruskal-Wallis",0.05,20.75,51.9929872164147,FALSE
"N11-N2","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N11-N4","Multiple comparison test after Kruskal-Wallis",0.05,5,58.1299268845905,FALSE
"N11-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N11-N6","Multiple comparison test after Kruskal-Wallis",0.05,40,77.9894808246221,FALSE
"N11-N7","Multiple comparison test after Kruskal-Wallis",0.05,6.5,63.6781444416324,FALSE
"N11-N9","Multiple comparison test after Kruskal-Wallis",0.05,20.75,51.9929872164147,FALSE
"N2-N4","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N2-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N2-N6","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N2-N7","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N2-N9","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N4-N5","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N4-N6","Multiple comparison test after Kruskal-Wallis",0.05,35,73.5291876697447,FALSE
"N4-N7","Multiple comparison test after Kruskal-Wallis",0.05,11.5,58.1299268845905,FALSE
"N4-N9","Multiple comparison test after Kruskal-Wallis",0.05,15.75,45.0272477480547,FALSE
"N5-N6","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N5-N7","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N5-N9","Multiple comparison test after Kruskal-Wallis",0.05,NA,Inf,NA
"N6-N7","Multiple comparison test after Kruskal-Wallis",0.05,46.5,77.9894808246221,FALSE
"N6-N9","Multiple comparison test after Kruskal-Wallis",0.05,19.25,68.7802570469969,FALSE
"N7-N9","Multiple comparison test after Kruskal-Wallis",0.05,27.25,51.9929872164147,FALSE
