"statistic","signif.level","dif.com.obs.dif","dif.com.critical.dif","dif.com.difference"
"E1-E2","Multiple comparison test after Kruskal-Wallis",0.001,0.0606060606060623,58.2651960255885,FALSE
"E1-E3","Multiple comparison test after Kruskal-Wallis",0.001,4.62121212121212,58.2651960255885,FALSE
"E1-N1","Multiple comparison test after Kruskal-Wallis",0.001,78.5848484848485,85.4335478368161,FALSE
"E1-N10","Multiple comparison test after Kruskal-Wallis",0.001,72.8848484848485,85.4335478368161,FALSE
"E1-N11","Multiple comparison test after Kruskal-Wallis",0.001,83.3848484848485,85.4335478368161,FALSE
"E1-N2","Multiple comparison test after Kruskal-Wallis",0.001,46.6848484848485,85.4335478368161,FALSE
"E1-N4","Multiple comparison test after Kruskal-Wallis",0.001,84.9848484848485,85.4335478368161,FALSE
"E1-N5","Multiple comparison test after Kruskal-Wallis",0.001,117.084848484848,85.4335478368161,TRUE
"E1-N6","Multiple comparison test after Kruskal-Wallis",0.001,94.0848484848485,85.4335478368161,TRUE
"E1-N7","Multiple comparison test after Kruskal-Wallis",0.001,101.984848484848,85.4335478368161,TRUE
"E1-N9","Multiple comparison test after Kruskal-Wallis",0.001,51.1348484848485,85.4335478368161,FALSE
"E2-E3","Multiple comparison test after Kruskal-Wallis",0.001,4.56060606060606,58.2651960255885,FALSE
"E2-N1","Multiple comparison test after Kruskal-Wallis",0.001,78.5242424242424,85.4335478368161,FALSE
"E2-N10","Multiple comparison test after Kruskal-Wallis",0.001,72.8242424242424,85.4335478368161,FALSE
"E2-N11","Multiple comparison test after Kruskal-Wallis",0.001,83.3242424242424,85.4335478368161,FALSE
"E2-N2","Multiple comparison test after Kruskal-Wallis",0.001,46.6242424242424,85.4335478368161,FALSE
"E2-N4","Multiple comparison test after Kruskal-Wallis",0.001,84.9242424242424,85.4335478368161,FALSE
"E2-N5","Multiple comparison test after Kruskal-Wallis",0.001,117.024242424242,85.4335478368161,TRUE
"E2-N6","Multiple comparison test after Kruskal-Wallis",0.001,94.0242424242424,85.4335478368161,TRUE
"E2-N7","Multiple comparison test after Kruskal-Wallis",0.001,101.924242424242,85.4335478368161,TRUE
"E2-N9","Multiple comparison test after Kruskal-Wallis",0.001,51.0742424242424,85.4335478368161,FALSE
"E3-N1","Multiple comparison test after Kruskal-Wallis",0.001,73.9636363636364,85.4335478368161,FALSE
"E3-N10","Multiple comparison test after Kruskal-Wallis",0.001,68.2636363636364,85.4335478368161,FALSE
"E3-N11","Multiple comparison test after Kruskal-Wallis",0.001,78.7636363636364,85.4335478368161,FALSE
"E3-N2","Multiple comparison test after Kruskal-Wallis",0.001,42.0636363636364,85.4335478368161,FALSE
"E3-N4","Multiple comparison test after Kruskal-Wallis",0.001,80.3636363636364,85.4335478368161,FALSE
"E3-N5","Multiple comparison test after Kruskal-Wallis",0.001,112.463636363636,85.4335478368161,TRUE
"E3-N6","Multiple comparison test after Kruskal-Wallis",0.001,89.4636363636364,85.4335478368161,TRUE
"E3-N7","Multiple comparison test after Kruskal-Wallis",0.001,97.3636363636364,85.4335478368161,TRUE
"E3-N9","Multiple comparison test after Kruskal-Wallis",0.001,46.5136363636364,85.4335478368161,FALSE
"N1-N10","Multiple comparison test after Kruskal-Wallis",0.001,5.69999999999999,105.84398482706,FALSE
"N1-N11","Multiple comparison test after Kruskal-Wallis",0.001,4.80000000000001,105.84398482706,FALSE
"N1-N2","Multiple comparison test after Kruskal-Wallis",0.001,31.9,105.84398482706,FALSE
"N1-N4","Multiple comparison test after Kruskal-Wallis",0.001,6.40000000000001,105.84398482706,FALSE
"N1-N5","Multiple comparison test after Kruskal-Wallis",0.001,38.5,105.84398482706,FALSE
"N1-N6","Multiple comparison test after Kruskal-Wallis",0.001,15.5,105.84398482706,FALSE
"N1-N7","Multiple comparison test after Kruskal-Wallis",0.001,23.4,105.84398482706,FALSE
"N1-N9","Multiple comparison test after Kruskal-Wallis",0.001,27.45,105.84398482706,FALSE
"N10-N11","Multiple comparison test after Kruskal-Wallis",0.001,10.5,105.84398482706,FALSE
"N10-N2","Multiple comparison test after Kruskal-Wallis",0.001,26.2,105.84398482706,FALSE
"N10-N4","Multiple comparison test after Kruskal-Wallis",0.001,12.1,105.84398482706,FALSE
"N10-N5","Multiple comparison test after Kruskal-Wallis",0.001,44.2,105.84398482706,FALSE
"N10-N6","Multiple comparison test after Kruskal-Wallis",0.001,21.2,105.84398482706,FALSE
"N10-N7","Multiple comparison test after Kruskal-Wallis",0.001,29.1,105.84398482706,FALSE
"N10-N9","Multiple comparison test after Kruskal-Wallis",0.001,21.75,105.84398482706,FALSE
"N11-N2","Multiple comparison test after Kruskal-Wallis",0.001,36.7,105.84398482706,FALSE
"N11-N4","Multiple comparison test after Kruskal-Wallis",0.001,1.59999999999999,105.84398482706,FALSE
"N11-N5","Multiple comparison test after Kruskal-Wallis",0.001,33.7,105.84398482706,FALSE
"N11-N6","Multiple comparison test after Kruskal-Wallis",0.001,10.7,105.84398482706,FALSE
